,Statistic,Year,UNIT,VALUE,County_name
230,Persons Killed,2009,Number,7.0,Sligo
231,Persons Killed,2009,Number,9.0,Cavan
232,Persons Killed,2009,Number,14.0,Donegal
233,Persons Killed,2009,Number,5.0,Monaghan
234,Persons Killed,2010,Number,5.0,Carlow
235,Persons Killed,2010,Number,20.0,Dublin
236,Persons Killed,2010,Number,11.0,Kildare
237,Persons Killed,2010,Number,6.0,Kilkenny
238,Persons Killed,2010,Number,9.0,Laois
239,Persons Killed,2010,Number,2.0,Longford
240,Persons Killed,2010,Number,8.0,Louth
241,Persons Killed,2010,Number,6.0,Meath
242,Persons Killed,2010,Number,4.0,Offaly
243,Persons Killed,2010,Number,7.0,Westmeath
244,Persons Killed,2010,Number,9.0,Wexford
245,Persons Killed,2010,Number,5.0,Wicklow
246,Persons Killed,2010,Number,4.0,Clare
247,Persons Killed,2010,Number,18.0,Cork
248,Persons Killed,2010,Number,11.0,Kerry
249,Persons Killed,2010,Number,18.0,Limerick
250,Persons Killed,2010,Number,6.0,Tipperary
251,Persons Killed,2010,Number,5.0,Waterford
252,Persons Killed,2010,Number,6.0,Galway
253,Persons Killed,2010,Number,3.0,Leitrim
254,Persons Killed,2010,Number,7.0,Mayo
255,Persons Killed,2010,Number,9.0,Roscommon
256,Persons Killed,2010,Number,3.0,Sligo
257,Persons Killed,2010,Number,7.0,Cavan
258,Persons Killed,2010,Number,19.0,Donegal
259,Persons Killed,2010,Number,4.0,Monaghan
260,Persons Killed,2011,Number,3.0,Carlow
261,Persons Killed,2011,Number,11.0,Dublin
262,Persons Killed,2011,Number,15.0,Kildare
263,Persons Killed,2011,Number,6.0,Kilkenny
264,Persons Killed,2011,Number,1.0,Laois
265,Persons Killed,2011,Number,2.0,Longford
266,Persons Killed,2011,Number,6.0,Louth
267,Persons Killed,2011,Number,4.0,Meath
268,Persons Killed,2011,Number,4.0,Offaly
269,Persons Killed,2011,Number,6.0,Westmeath
270,Persons Killed,2011,Number,5.0,Wexford
271,Persons Killed,2011,Number,3.0,Wicklow
272,Persons Killed,2011,Number,2.0,Clare
273,Persons Killed,2011,Number,27.0,Cork
274,Persons Killed,2011,Number,7.0,Kerry
275,Persons Killed,2011,Number,15.0,Limerick
276,Persons Killed,2011,Number,11.0,Tipperary
277,Persons Killed,2011,Number,7.0,Waterford
278,Persons Killed,2011,Number,13.0,Galway
279,Persons Killed,2011,Number,1.0,Leitrim
280,Persons Killed,2011,Number,12.0,Mayo
281,Persons Killed,2011,Number,5.0,Roscommon
282,Persons Killed,2011,Number,3.0,Sligo
283,Persons Killed,2011,Number,5.0,Cavan
284,Persons Killed,2011,Number,6.0,Donegal
285,Persons Killed,2011,Number,6.0,Monaghan
286,Persons Killed,2012,Number,2.0,Carlow
287,Persons Killed,2012,Number,12.0,Dublin
288,Persons Killed,2012,Number,1.0,Kildare
289,Persons Killed,2012,Number,3.0,Kilkenny
290,Persons Killed,2012,Number,0.0,Laois
291,Persons Killed,2012,Number,5.0,Longford
292,Persons Killed,2012,Number,7.0,Louth
293,Persons Killed,2012,Number,14.0,Meath
294,Persons Killed,2012,Number,7.0,Offaly
295,Persons Killed,2012,Number,5.0,Westmeath
296,Persons Killed,2012,Number,9.0,Wexford
297,Persons Killed,2012,Number,3.0,Wicklow
298,Persons Killed,2012,Number,2.0,Clare
299,Persons Killed,2012,Number,21.0,Cork
300,Persons Killed,2012,Number,7.0,Kerry
301,Persons Killed,2012,Number,5.0,Limerick
302,Persons Killed,2012,Number,5.0,Tipperary
303,Persons Killed,2012,Number,3.0,Waterford
304,Persons Killed,2012,Number,19.0,Galway
305,Persons Killed,2012,Number,0.0,Leitrim
306,Persons Killed,2012,Number,7.0,Mayo
307,Persons Killed,2012,Number,3.0,Roscommon
308,Persons Killed,2012,Number,4.0,Sligo
309,Persons Killed,2012,Number,10.0,Cavan
310,Persons Killed,2012,Number,7.0,Donegal
311,Persons Killed,2012,Number,2.0,Monaghan
312,Persons Killed,2013,Number,2.0,Carlow
313,Persons Killed,2013,Number,19.0,Dublin
314,Persons Killed,2013,Number,15.0,Kildare
315,Persons Killed,2013,Number,4.0,Kilkenny
316,Persons Killed,2013,Number,2.0,Laois
317,Persons Killed,2013,Number,2.0,Longford
318,Persons Killed,2013,Number,4.0,Louth
319,Persons Killed,2013,Number,9.0,Meath
320,Persons Killed,2013,Number,5.0,Offaly
321,Persons Killed,2013,Number,5.0,Westmeath
322,Persons Killed,2013,Number,7.0,Wexford
323,Persons Killed,2013,Number,6.0,Wicklow
324,Persons Killed,2013,Number,2.0,Clare
325,Persons Killed,2013,Number,18.0,Cork
326,Persons Killed,2013,Number,14.0,Kerry
327,Persons Killed,2013,Number,6.0,Limerick
328,Persons Killed,2013,Number,12.0,Tipperary
329,Persons Killed,2013,Number,2.0,Waterford
330,Persons Killed,2013,Number,13.0,Galway
331,Persons Killed,2013,Number,2.0,Leitrim
332,Persons Killed,2013,Number,6.0,Mayo
333,Persons Killed,2013,Number,4.0,Roscommon
334,Persons Killed,2013,Number,5.0,Sligo
335,Persons Killed,2013,Number,3.0,Cavan
336,Persons Killed,2013,Number,13.0,Donegal
337,Persons Killed,2013,Number,8.0,Monaghan
338,Persons Killed,2014,Number,5.0,Carlow
339,Persons Killed,2014,Number,28.0,Dublin
340,Persons Killed,2014,Number,4.0,Kildare
341,Persons Killed,2014,Number,3.0,Kilkenny
342,Persons Killed,2014,Number,7.0,Laois
343,Persons Killed,2014,Number,4.0,Longford
344,Persons Killed,2014,Number,6.0,Louth
345,Persons Killed,2014,Number,5.0,Meath
346,Persons Killed,2014,Number,2.0,Offaly
347,Persons Killed,2014,Number,6.0,Westmeath
348,Persons Killed,2014,Number,4.0,Wexford
349,Persons Killed,2014,Number,7.0,Wicklow
350,Persons Killed,2014,Number,5.0,Clare
351,Persons Killed,2014,Number,19.0,Cork
352,Persons Killed,2014,Number,14.0,Kerry
353,Persons Killed,2014,Number,10.0,Limerick
354,Persons Killed,2014,Number,14.0,Tipperary
355,Persons Killed,2014,Number,6.0,Waterford
356,Persons Killed,2014,Number,5.0,Galway
357,Persons Killed,2014,Number,1.0,Leitrim
358,Persons Killed,2014,Number,12.0,Mayo
359,Persons Killed,2014,Number,6.0,Roscommon
360,Persons Killed,2014,Number,1.0,Sligo
361,Persons Killed,2014,Number,1.0,Cavan
362,Persons Killed,2014,Number,9.0,Donegal
363,Persons Killed,2014,Number,8.0,Monaghan
364,Persons Killed,2015,Number,4.0,Carlow
365,Persons Killed,2015,Number,16.0,Dublin
366,Persons Killed,2015,Number,9.0,Kildare
367,Persons Killed,2015,Number,2.0,Kilkenny
368,Persons Killed,2015,Number,4.0,Laois
369,Persons Killed,2015,Number,5.0,Longford
370,Persons Killed,2015,Number,6.0,Louth
371,Persons Killed,2015,Number,8.0,Meath
372,Persons Killed,2015,Number,5.0,Offaly
373,Persons Killed,2015,Number,5.0,Westmeath
374,Persons Killed,2015,Number,7.0,Wexford
375,Persons Killed,2015,Number,8.0,Wicklow
376,Persons Killed,2015,Number,2.0,Clare
377,Persons Killed,2015,Number,15.0,Cork
378,Persons Killed,2015,Number,8.0,Kerry
379,Persons Killed,2015,Number,4.0,Limerick
380,Persons Killed,2015,Number,4.0,Tipperary
381,Persons Killed,2015,Number,0.0,Waterford
382,Persons Killed,2015,Number,12.0,Galway
383,Persons Killed,2015,Number,3.0,Leitrim
384,Persons Killed,2015,Number,13.0,Mayo
385,Persons Killed,2015,Number,1.0,Roscommon
386,Persons Killed,2015,Number,2.0,Sligo
387,Persons Killed,2015,Number,4.0,Cavan
388,Persons Killed,2015,Number,11.0,Donegal
389,Persons Killed,2015,Number,4.0,Monaghan
390,Persons Killed,2016,Number,0.0,Carlow
391,Persons Killed,2016,Number,21.0,Dublin
392,Persons Killed,2016,Number,7.0,Kildare
393,Persons Killed,2016,Number,6.0,Kilkenny
394,Persons Killed,2016,Number,3.0,Laois
395,Persons Killed,2016,Number,3.0,Longford
396,Persons Killed,2016,Number,7.0,Louth
397,Persons Killed,2016,Number,12.0,Meath
398,Persons Killed,2016,Number,4.0,Offaly
399,Persons Killed,2016,Number,4.0,Westmeath
400,Persons Killed,2016,Number,4.0,Wexford
401,Persons Killed,2016,Number,2.0,Wicklow
402,Persons Killed,2016,Number,4.0,Clare
403,Persons Killed,2016,Number,21.0,Cork
404,Persons Killed,2016,Number,7.0,Kerry
405,Persons Killed,2016,Number,14.0,Limerick
406,Persons Killed,2016,Number,13.0,Tipperary
407,Persons Killed,2016,Number,8.0,Waterford
408,Persons Killed,2016,Number,10.0,Galway
409,Persons Killed,2016,Number,1.0,Leitrim
410,Persons Killed,2016,Number,4.0,Mayo
411,Persons Killed,2016,Number,7.0,Roscommon
412,Persons Killed,2016,Number,2.0,Sligo
413,Persons Killed,2016,Number,3.0,Cavan
414,Persons Killed,2016,Number,10.0,Donegal
415,Persons Killed,2016,Number,5.0,Monaghan
416,Persons Killed,2017,Number,3.0,Carlow
417,Persons Killed,2017,Number,24.0,Dublin
418,Persons Killed,2017,Number,6.0,Kildare
419,Persons Killed,2017,Number,4.0,Kilkenny
420,Persons Killed,2017,Number,2.0,Laois
421,Persons Killed,2017,Number,2.0,Longford
422,Persons Killed,2017,Number,10.0,Louth
423,Persons Killed,2017,Number,8.0,Meath
424,Persons Killed,2017,Number,2.0,Offaly
425,Persons Killed,2017,Number,1.0,Westmeath
426,Persons Killed,2017,Number,7.0,Wexford
427,Persons Killed,2017,Number,2.0,Wicklow
428,Persons Killed,2017,Number,4.0,Clare
429,Persons Killed,2017,Number,14.0,Cork
430,Persons Killed,2017,Number,8.0,Kerry
431,Persons Killed,2017,Number,7.0,Limerick
432,Persons Killed,2017,Number,7.0,Tipperary
433,Persons Killed,2017,Number,4.0,Waterford
434,Persons Killed,2017,Number,5.0,Galway
435,Persons Killed,2017,Number,1.0,Leitrim
436,Persons Killed,2017,Number,13.0,Mayo
