,Statistic,Year,Age Group,Sex,Road User Type,UNIT,VALUE
2084,Killed Casualties,2015,All ages,Male,All Car users,Number,60
2085,Killed Casualties,2015,All ages,Male,Car drivers,Number,46
2086,Killed Casualties,2015,All ages,Male,Car passengers,Number,14
2087,Killed Casualties,2015,All ages,Male,Other road users,Number,10
2089,Killed Casualties,2015,All ages,Female,Pedestrians,Number,9
2090,Killed Casualties,2015,All ages,Female,Pedal cyclists,Number,1
2091,Killed Casualties,2015,All ages,Female,Motor cyclists,Number,1
2092,Killed Casualties,2015,All ages,Female,All Car users,Number,29
2093,Killed Casualties,2015,All ages,Female,Car drivers,Number,17
2094,Killed Casualties,2015,All ages,Female,Car passengers,Number,12
2095,Killed Casualties,2015,All ages,Female,Other road users,Number,0
2289,Killed Casualties,2016,All ages,Male,Pedestrians,Number,25
2290,Killed Casualties,2016,All ages,Male,Pedal cyclists,Number,8
2291,Killed Casualties,2016,All ages,Male,Motor cyclists,Number,20
2292,Killed Casualties,2016,All ages,Male,All Car users,Number,77
2293,Killed Casualties,2016,All ages,Male,Car drivers,Number,60
2294,Killed Casualties,2016,All ages,Male,Car passengers,Number,17
2295,Killed Casualties,2016,All ages,Male,Other road users,Number,8
2297,Killed Casualties,2016,All ages,Female,Pedestrians,Number,10
2298,Killed Casualties,2016,All ages,Female,Pedal cyclists,Number,2
2299,Killed Casualties,2016,All ages,Female,Motor cyclists,Number,2
2300,Killed Casualties,2016,All ages,Female,All Car users,Number,33
2301,Killed Casualties,2016,All ages,Female,Car drivers,Number,16
2302,Killed Casualties,2016,All ages,Female,Car passengers,Number,17
2303,Killed Casualties,2016,All ages,Female,Other road users,Number,1
2497,Killed Casualties,2017,All ages,Male,Pedestrians,Number,24
2498,Killed Casualties,2017,All ages,Male,Pedal cyclists,Number,9
2499,Killed Casualties,2017,All ages,Male,Motor cyclists,Number,19
2500,Killed Casualties,2017,All ages,Male,All Car users,Number,52
2501,Killed Casualties,2017,All ages,Male,Car drivers,Number,39
2502,Killed Casualties,2017,All ages,Male,Car passengers,Number,13
2503,Killed Casualties,2017,All ages,Male,Other road users,Number,12
2505,Killed Casualties,2017,All ages,Female,Pedestrians,Number,7
2506,Killed Casualties,2017,All ages,Female,Pedal cyclists,Number,5
2507,Killed Casualties,2017,All ages,Female,Motor cyclists,Number,1
2508,Killed Casualties,2017,All ages,Female,All Car users,Number,27
2509,Killed Casualties,2017,All ages,Female,Car drivers,Number,15
2510,Killed Casualties,2017,All ages,Female,Car passengers,Number,12
