,Statistic,Year,UNIT,VALUE,County_name,per_10k,per_10k_vehicles,per_1b_km_travelled,avg_per_1k_km_travelled
72,Persons Killed,2003,Number,9.0,Mayo,0.7564105796626409,1.1543123184362916,6.132182602770838,0.4783290372299434
73,Persons Killed,2003,Number,6.0,Roscommon,1.0903738164900867,1.5863782983448786,8.046490835940993,0.30425449197951354
74,Persons Killed,2003,Number,5.0,Sligo,0.8496321092966745,1.3798686365058046,7.676560900716479,0.2781899109792285
75,Persons Killed,2003,Number,15.0,Cavan,2.5723693236383594,3.8510581852102246,19.960079840319363,0.7776184140040436
76,Persons Killed,2003,Number,23.0,Donegal,1.6454899267399268,2.7880815574466022,14.853083629318697,1.2249354245998987
77,Persons Killed,2003,Number,8.0,Monaghan,1.4944053200829395,2.4461714868136064,12.361576100952872,0.40422414228689807
78,Persons Killed,2004,Number,7.0,Carlow,1.4553922282055012,2.008348993673701,11.11111111111111,0.38743957787535516
79,Persons Killed,2004,Number,45.0,Dublin,0.38964817367571575,0.7484305826476647,5.00055561729081,3.0070498613415895
80,Persons Killed,2004,Number,19.0,Kildare,1.084691576513573,1.7146492714996715,9.549338247612665,1.0581715908774472
81,Persons Killed,2004,Number,9.0,Kilkenny,1.0715688959268475,1.6367604267701261,9.069533087000336,0.498854482299904
82,Persons Killed,2004,Number,8.0,Laois,1.272426517368622,1.9880139326643116,10.34928848641656,0.4164678321981693
83,Persons Killed,2004,Number,5.0,Longford,1.52699731248473,2.3981198740187692,12.244897959183675,0.25530176668822546
84,Persons Killed,2004,Number,9.0,Louth,0.8462782562906683,1.608238948569114,8.950770760815516,0.5010113005882243
85,Persons Killed,2004,Number,22.0,Meath,1.4826496296745584,2.244951410407731,11.995637949836423,1.1760094080752648
86,Persons Killed,2004,Number,4.0,Offaly,0.5956546989710065,0.9715615828357453,5.22420548541576,0.2151559432346903
87,Persons Killed,2004,Number,13.0,Westmeath,1.7169649342930728,2.701878844981433,14.290949065591793,0.6874305959494474
88,Persons Killed,2004,Number,16.0,Wexford,1.2888051165563128,1.8308277057631022,9.97609892964772,0.8722832012793487
89,Persons Killed,2004,Number,14.0,Wicklow,1.1622501162250116,1.8268931724217428,10.806638363566192,0.8284105365930631
90,Persons Killed,2004,Number,8.0,Clare,0.7466796091132246,1.1626611375670346,6.37111760021237,0.4383361490342907
91,Persons Killed,2004,Number,29.0,Cork,0.6240075053040638,0.9621850226500568,5.659825000813194,1.705782012822775
92,Persons Killed,2004,Number,14.0,Kerry,1.0284362626626216,1.5926737009755125,9.143354740394035,0.8039970137253776
93,Persons Killed,2004,Number,17.0,Limerick,0.9455370650529501,1.5997565860567098,8.957583208922456,0.9522742549854358
94,Persons Killed,2004,Number,19.0,Tipperary,1.3134245817779622,1.9712201852946976,10.650224215246636,0.5130143644022033
95,Persons Killed,2004,Number,4.0,Waterford,0.3819016794126352,0.6117517511393876,3.663003663003663,0.239585517055494
96,Persons Killed,2004,Number,25.0,Galway,1.1350840870291672,1.8760036619591482,10.154346060113728,1.3533386865396935
97,Persons Killed,2004,Number,4.0,Leitrim,1.4638073629510358,2.2007849466309652,11.488750598372427,0.20877008324707072
98,Persons Killed,2004,Number,12.0,Mayo,0.9955366772304169,1.5390830912483888,8.176243470361118,0.6377720496399245
99,Persons Killed,2004,Number,9.0,Roscommon,1.5999715560612258,2.379567447517318,12.069736253911488,0.45638173796927034
100,Persons Killed,2004,Number,9.0,Sligo,1.5120967741935485,2.483763545710448,13.81780962128966,0.5007418397626113
101,Persons Killed,2004,Number,8.0,Cavan,1.3287050108787724,2.0538976987787865,10.645375914836993,0.4147298208021566
